Word1,Word2,Co-occurrence
I,am,3
need,relax,2
dress,for,2
detailed,travel,2
this,trip,2
trip,I,2
very,am,2
We,have,1
also,dress,1
am,going,1
am,very,1
and,need,1
and,watch,1
a,beautiful,1
a,delicious,1
a,detailed,1
at,noon,1
because,trip,1
beautiful,for,1
because,trip,1
beautiful,dress,1
dress,for,1
delicious,meal,1
Disneyland,and,1
detailed,guide,1
experience,of,1
family,soon,1
fireworks,I,1
forward,I,1
forward,to,1
for,and,1
go,to,1
going,to,1
guide,and,1
had,a,1
happy,relax,1
have,need,1
I,also,1
I,had,1
I,think,1
I,also,1
looking,forward,1
made,a,1
meal,at,1
Museum,Peoples,1
my,family,1
need,happy,1
need,relax,1
recently,forward,1
recently,to,1
relax,We,1
Shanghai,Disneyland,1
Shanghai,Museum,1
Shanghai,with,1
soon,We,1
the,experience,1
think,the,1
tired,recently,1
to,relax,1
to,Shanghai,1
travel,guide,1
trip,because,1
trip,will,1
very,good,1
watch,fireworks,1
We,will,1
with,my,1
will,be,1
will,go,1
of,this,1
